Species	Status
Carpocyon_compressus	extinct
Carpocyon_limosus	extinct
Carpocyon_robustus	extinct
Carpocyon_webbi	extinct
Catopuma_temminckii	extant
Cephalogale_bonali	extinct
Cephalogale_brevirostris	extinct
Cephalogale_geoffroyi	extinct
Cephalogale_gracile	extinct
Cephalogale_meschethense	extinct
Cephalogale_minor	extinct
Cerdocyon_avius	extinct
Cerdocyon_texanus	extinct
Cernictis_hesperus	extinct
Chamitataxus_avitatus	extinct
Chasmaporthetes_australis	extinct
Chasmaporthetes_bonisi	extinct
Chasmaporthetes_borissiaki	extinct
Chasmaporthetes_lunensis	extinct
Chasmaporthetes_nitidula	extinct
Chasmaporthetes_ossifragus	extinct
Chrysocyon_nearcticus	extinct
Circamustela_dechaseauxi	extinct
Conepatus_leuconotus	extant
Cormocyon_copei	extinct
Cormocyon_haydeni	extinct
Crassidia_intermedia	extinct
Craterogale_simus	extinct
Crocuta_crocuta	extant
Crocuta_dietrichi	extinct
Crocuta_eldarica	extinct
Crocuta_honanensis	extinct
Crocuta_miriani	extinct
Crocuta_spelaea	extinct
Crocuta_ultima	extinct
Crocuta_ultra	extinct
Crossarchus_transvalensis	extinct
Cuon_alpinus	extant
Cuon_antiquus	extinct
Cuon_javanicus	extinct
Cuon_priscus	extinct
Cynarctoides_acridens	extinct
Cynarctoides_emryi	extinct
Cynarctoides_gawnae	extinct
Cynarctoides_harlowi	extinct
Cynarctoides_lemur	extinct
Cynarctoides_luskensis	extinct
Cynarctoides_roii	extinct
Cynarctoides_whistleri	extinct
Cynarctus_crucidens	extinct
Cynarctus_galushai	extinct
Cynarctus_marylandica	extinct
Cynarctus_saxatilis	extinct
Cynarctus_voorhiesi	extinct
Cynelos_bohemicus	extinct
Cynelos_caroniavorus	extinct
Cynelos_crassidens	extinct
Cynelos_euryodon	extinct
Cynelos_helbingi	extinct
Cynelos_idoneus	extinct
Cynelos_jitu	extinct
Cynelos_lemanensis	extinct
Cynelos_macrodon	extinct
Cynelos_minor	extinct
Cynelos_rugosidens	extinct
Cynelos_schlosseri	extinct
Cynelos_sinapius	extinct
Cynictis_penicillata	extant
Cynodesmus_martini	extinct
Cynodesmus_thooides	extinct
Cynodictis_compressidens	extinct
Cynodictis_exilis	extinct
Cynodictis_lacustris	extinct
Cyonarctos_dessei	extinct
Cyrnaonyx_antiqua	extinct
Daphoenictis_tedfordi	extinct
Daphoenodon_falkenbachi	extinct
Daphoenodon_minor	extinct
Daphoenodon_notionastes	extinct
Daphoenodon_skinner	extinct
Daphoenodon_superbus	extinct
Daphoenus_demilo	extinct
Daphoenus_hartshornianus	extinct
Daphoenus_socialis	extinct
Daphoenus_transversus	extinct
Daphoenus_vetus	extinct
Desmocyon_matthewi	extinct
Desmocyon_thomsoni	extinct
Diamantofelis_ferox	extinct
Didymictis_altidens	extinct
Didymictis_protenus	extinct
Didymictis_vancleavae	extinct
Dinaelurus_crassus	extinct
Dinailurictis_bonali	extinct
Dinictis_cyclops	extinct
Dinictis_felina	extinct
Dinocrocuta_algeriensis	extinct
Dinocrocuta_gigantea	extinct
Dinocrocuta_macrodonta	extinct
Dinocrocuta_minor	extinct
Dinocrocuta_robusta	extinct
Dinocrocuta_salonicae	extinct
Dinocrocuta_senyureki	extinct
Dinocyon_thenardi	extinct
Dinofelis_aronoki	extinct
Dinofelis_barlowi	extinct
Dinofelis_cristata	extinct
Dinofelis_diastemata	extinct
Dinofelis_palaeoonca	extinct
