Species	Status
Gillisonchus_gillianus	extinct
Gingerichia_hystrix	extinct
Goleroconus_alfi	extinct
Goniacodon_crassicuspis	extinct
Goniacodon_hiawathae	extinct
Goniacodon_levisanus	extinct
Gypsonictops_illuminatus	extinct
Hapalodectes_anthracinus	extinct
Hapalodectes_dux	extinct
Hapalodectes_leptognathus	extinct
Hapalorestes_lovei	extinct
Haplaletes_andakupensis	extinct
Haplaletes_disceptatrix	extinct
Haplaletes_pelicatus	extinct
Haploconus_angustus	extinct
Haploconus_corniculatus	extinct
Haploconus_elachistus	extinct
Haploconus_inopinatus	extinct
Haplolambda_quinni	extinct
Haplolambda_simpsoni	extinct
Haplomylus_palustris	extinct
Haplomylus_simpsoni	extinct
Haplomylus_speirianus	extinct
Harpagolestes_brevipes	extinct
Harpagolestes_immanis	extinct
Harpagolestes_leotensis	extinct
Harpagolestes_macrocephalus	extinct
Harpagolestes_uintensis	extinct
Hemithlaeus_kowalevskianus	extinct
Heterohyus_armatus	extinct
Heterohyus_heufelderi	extinct
Heterohyus_nanus	extinct
Heterohyus_sudrei	extinct
Hilalia_robusta	extinct
Hilalia_saribeya	extinct
Hilalia_selanneae	extinct
Hilalia_sezerum	extinct
Huerfanodon_polecatensis	extinct
Huerfanodon_torrejonius	extinct
Hyopsodus_despiciens	extinct
Hyopsodus_latidens	extinct
Hyopsodus_lepidus	extinct
Hyopsodus_loomisi	extinct
Hyopsodus_marshi	extinct
Hyopsodus_mentalis	extinct
Hyopsodus_minisculus	extinct
Hyopsodus_minor	extinct
Hyopsodus_miticulus	extinct
Hyopsodus_paulus	extinct
Hyopsodus_powellianus	extinct
Hyopsodus_sholemi	extinct
Hyopsodus_simplex	extinct
Hyopsodus_tonksi	extinct
Hyopsodus_uintensis	extinct
Hyopsodus_wolcottianus	extinct
Hyopsodus_wortmani	extinct
Ignatiolambda_barnesi	extinct
Ilerdoryctes_sigei	extinct
Jepsenella_praepropera	extinct
Kennatherium_shirense	extinct
Khaichinula_lupula	extinct
Khamsaconus_bulbosus	extinct
Kimbetohia_campi	extinct
Kimbetohia_mziae	extinct
Kopidodon_macrognathus	extinct
Krauseia_clemensi	extinct
Labidolemur_kayi	extinct
Labidolemur_major	extinct
Labidolemur_serus	extinct
Labidolemur_soricoides	extinct
Lainoryctes_youzwyshyni	extinct
Lambertocyon_eximius	extinct
Lambertocyon_ischyrus	extinct
Leptictidium_auderiense	extinct
Leptictidium_nasutum	extinct
Leptictidium_tobieni	extinct
Leptictis_acutidens	extinct
Leptictis_bullatus	extinct
Leptictis_dakotensis	extinct
Leptictis_douglassi	extinct
Leptictis_haydeni	extinct
Leptictis_major	extinct
Leptictis_montanus	extinct
Leptictis_thompsoni	extinct
Leptictis_wilsoni	extinct
Leptolambda_schmidti	extinct
Leptonysson_basiliscus	extinct
Liotomus_marshi	extinct
Litaletes_disjunctus	extinct
Litaletes_gazinensis	extinct
Litaletes_mantiensis	extinct
Litaletes_ondolinde	extinct
Litaletes_sternbergi	extinct
Litomylus_aequidens	extinct
Litomylus_alphamon	extinct
Litomylus_dissentaneus	extinct
Litomylus_grandaletes	extinct
Litomylus_ishami	extinct
Litomylus_orthronepius	extinct
Litomylus_osceolae	extinct
Louisina_mirabilis	extinct
Loxolophus_criswelli	extinct
Loxolophus_faulkneri	extinct
Loxolophus_hyattianus	extinct
Loxolophus_kimbetovius	extinct
Loxolophus_pentacus	extinct
Loxolophus_priscus	extinct
Loxolophus_schizophrenus	extinct
Loxolophus_spiekeri	extinct
Machocyon_abbasi	extinct
Maiorana_ferrisensis	extinct
Maiorana_noctiluca	extinct
Megalesthonyx_hopsoni	extinct
Meniscotherium_chamense	extinct
Meniscotherium_tapiacitum	extinct
Meniscotherium_terraerubrae	extinct
Mentoclaenodon_acrogenius	extinct
Mesodma_ambigua	extinct
Mesodma_formosa	extinct
Mesodma_gardieldensis	extinct
Mesodma_hensleighi	extinct
Mesodma_pygmaea	extinct
Mesodma_thompsoni	extinct
Mesonyx_obtusidens	extinct
Microclaenodon_assurgens	extinct
Microcosmodon_arcuatus	extinct
Microcosmodon_conus	extinct
Microcosmodon_harleyi	extinct
Microcosmodon_rosei	extinct
Microhyus_musculus	extinct
Microhyus_reisi	extinct
Mimatuta_makpialutae	extinct
Mimatuta_minuial	extinct
Mimatuta_morgoth	extinct
Mimetodon_churchilli	extinct
Mimetodon_krausei	extinct
Mimetodon_silberlingi	extinct
Mimotricentes_fremontensis	extinct
Mimotricentes_mirielae	extinct
Mimotricentes_subtrigonus	extinct
Mimotricentes_tedfordi	extinct
Mioclaenus_turgidus	extinct
Monshyus_praevius	extinct
Myrmecoboides_montanensis	extinct
Nacimientotherium_silvestrei	extinct
Naranius_infrequens	extinct
Neoplagiaulax_annae	extinct
Neoplagiaulax_cimolodontoides	extinct
Neoplagiaulax_copei	extinct
Neoplagiaulax_eocaenus	extinct
Neoplagiaulax_grangeri	extinct
Neoplagiaulax_hazeni	extinct
Neoplagiaulax_hunteri	extinct
Neoplagiaulax_jepi	extinct
Neoplagiaulax_kremnus	extinct
Neoplagiaulax_macintyrei	extinct
Neoplagiaulax_macrotomeus	extinct
Neoplagiaulax_mckennai	extinct
Neoplagiaulax_nanophus	extinct
Neoplagiaulax_nelsoni	extinct
Neoplagiaulax_nicolai	extinct
Neoplagiaulax_paskapooensis	extinct
Neoplagiaulax_serrator	extinct
Neoplagiaulax_sylvani	extinct
Nuryctes_gobiensis	extinct
Obashtakaia_aeruginis	extinct
Onychodectes_tisonensis	extinct
Orthaspidotherium_edwardsi	extinct
Ottoryctes_winkleri	extinct
Oxyacodon_agapetillus	extinct
Oxyacodon_apiculatus	extinct
Oxyacodon_ferronensis	extinct
Oxyacodon_marshater	extinct
Oxyacodon_priscilla	extinct
Oxyclaenus_corax	extinct
Oxyclaenus_cuspidatus	extinct
Oxyclaenus_pearcei	extinct
Oxyclaenus_pugnax	extinct
Oxyclaenus_simplex	extinct
Oxyclaenus_subbituminus	extinct
Oxyprimus_erikseni	extinct
Oxyprimus_galadrielae	extinct
Oxyprimus_putorius	extinct
Oxytomodon_perissum	extinct
Pachyaena_gigantea	extinct
Pachyaena_gracilis	extinct
Pachyaena_ossifraga	extinct
Pagonomus_dionysi	extinct
Palaeictops_bicuspis	extinct
Palaeictops_borealis	extinct
Palaeictops_bridgeri	extinct
Palaeictops_matthewi	extinct
Palaeictops_multicuspis	extinct
Palaeictops_pineyensis	extinct
Palaeoryctes_cruoris	extinct
Palaeoryctes_jepseni	extinct
Palaeoryctes_minimus	extinct
Palaeoryctes_puercensis	extinct
Palaeoryctes_punctatus	extinct
Palaeosinopa_didelphoides	extinct
Palaeosinopa_dorri	extinct
Palaeosinopa_incerta	extinct
Palaeosinopa_lutreola	extinct
Palaeosinopa_nunavutensis	extinct
Palaeosinopa_russelli	extinct
Palaeosinopa_veterrima	extinct
Paleotomus_carbonensis	extinct
Paleotomus_junior	extinct
Paleotomus_milleri	extinct
Paleotomus_radagasti	extinct
Paleotomus_senior	extinct
Pantolambda_bathmodon	extinct
Pantolambda_cavirictum	extinct
Pantolambda_intermedium	extinct
Pantolestes_elegans	extinct
Pantolestes_intermedius	extinct
Pantolestes_longicaudus	extinct
Pantolestes_natans	extinct
Pantolestes_phocipes	extinct
Pararyctes_pattersoni	extinct
Pararyctes_rutherfordi	extinct
Parectypodus_armstrongi	extinct
Parectypodus_corystes	extinct
Parectypodus_laytoni	extinct
Parectypodus_lunatus	extinct
Parectypodus_simpsoni	extinct
Parectypodus_sinclairi	extinct
Parectypodus_sloani	extinct
Parectypodus_sylviae	extinct
Parectypodus_trovessartianus	extinct
Parectypodus_vanvaleni	extinct
Paschatherium_dolloi	extinct
Paschatherium_marianae	extinct
Pentacodon_inversus	extinct
Pentacodon_occultus	extinct
Pentacosmodon_bowensis	extinct
Pentacosmodon_pronus	extinct
Periptychus_carinidens	extinct
Periptychus_gilmorei	extinct
Periptychus_superstes	extinct
Phenacodaptes_sabulosus	extinct
